tract,no_internet,no_computer,no_internet_computer_universe,no_internet_pct,no_computer_pct,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037408137,158,28,1367,11.6,2,District 1,City of West Covina,SPA 3 - San Gabriel,2680,9039334.9375,14124.3775220187
06037408138,169,147,1186,14.2,12.4,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,2681,9710533.65234375,16122.8322205485
06037408139,64,29,860,7.4,3.4,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,2682,8478988.30273438,13014.6296463432
06037408140,76,43,804,9.5,5.3,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,2683,9852174.77929688,13150.9719483573
06037408141,73,36,952,7.7,3.8,District 1,Unincorporated - San Jose Hills,SPA 3 - San Gabriel,2684,11978519.3183594,17054.0305220853
06037408212,82,72,1435,5.7,5,District 1,Unincorporated - Rowland Heights,SPA 3 - San Gabriel,2685,30721179.5175781,22583.0571980266
06037408213,107,73,1764,6.1,4.1,District 1,Unincorporated - Rowland Heights,SPA 3 - San Gabriel,2686,16529677.1523438,20672.7134163535
06037408301,157,57,1516,10.4,3.8,District 1,Unincorporated - Avocado Heights,SPA 3 - San Gabriel,2687,29130110.0986328,30399.5591654465
06037408302,140,62,1010,13.9,6.1,District 1,Unincorporated - North Whittier,SPA 3 - San Gabriel,2688,36734534.7539063,31927.5963435866
06037408303,109,20,1270,8.6,1.6,District 1,Unincorporated - North Whittier,SPA 3 - San Gabriel,2689,20941704.2900391,27335.3179494037
06037408401,98,55,1296,7.6,4.2,District 1,Unincorporated - Hacienda Heights,SPA 3 - San Gabriel,2690,12356910.4560547,16970.1247253794
06037408402,172,59,1962,8.8,3,District 1,Unincorporated - Hacienda Heights,SPA 3 - San Gabriel,2691,124530839.464844,59661.7702419517
06037408503,88,36,1933,4.6,1.9,District 1,Unincorporated - Hacienda Heights,SPA 3 - San Gabriel,2692,45276197.3554688,37524.2875320273
06037574901,69,16,1360,5.1,1.2,District 4,City of Long Beach,SPA 8 - South Bay,2693,14319290.4873047,16741.6755012042
06037574902,172,32,1743,9.9,1.8,District 4,City of Long Beach,SPA 8 - South Bay,2694,8657349.68066406,12945.8933583548
06037575001,88,26,1769,5,1.5,District 4,City of Long Beach,SPA 8 - South Bay,2695,10407765.3232422,18146.4833092512
06037575002,65,69,1914,3.4,3.6,District 4,City of Long Beach,SPA 8 - South Bay,2696,10329955.3525391,14700.2601668854
06037575101,167,47,1516,11,3.1,District 4,City of Long Beach,SPA 8 - South Bay,2697,4540405.609375,10064.2060062263
06037575102,390,163,1287,30.3,12.7,District 4,City of Long Beach,SPA 8 - South Bay,2698,4364864.74804688,9257.5482863234
06037575103,246,112,2090,11.8,5.4,District 4,City of Long Beach,SPA 8 - South Bay,2699,5172365.60058594,9179.18356282492
06037575201,318,120,1239,25.7,9.7,District 4,City of Long Beach,SPA 8 - South Bay,2700,6099628.63867188,10556.7213851321
06037575202,161,101,1113,14.5,9.1,District 4,City of Long Beach,SPA 8 - South Bay,2701,4347717.87207031,9231.9617349955
06037575300,414,164,1250,33.1,13.1,District 4,City of Long Beach,SPA 8 - South Bay,2702,6978915.109375,10568.2399373525
06037575401,226,63,1270,17.8,5,District 4,City of Long Beach,SPA 8 - South Bay,2703,9606072.02539063,12582.5770564185
06037575402,91,42,1068,8.5,3.9,District 4,City of Long Beach,SPA 8 - South Bay,2704,3489119.72363281,7932.17131190294
06037575801,164,34,755,21.7,4.5,District 4,City of Long Beach,SPA 8 - South Bay,2705,4667833.09570313,8610.1691782388
06037575802,374,112,1673,22.4,6.7,District 4,City of Long Beach,SPA 8 - South Bay,2706,3457761.87988281,7901.87981110437
06037575803,478,179,1282,37.3,14,District 4,City of Long Beach,SPA 8 - South Bay,2707,2148303.48046875,6905.16516246652
06037575901,245,55,1483,16.5,3.7,District 4,City of Long Beach,SPA 8 - South Bay,2708,5253183.30371094,9691.58599480208
06037575902,442,174,3019,14.6,5.8,District 4,City of Long Beach,SPA 8 - South Bay,2709,3769688.31542969,7831.54281733017
06037576001,150,26,3298,4.5,0.8,District 4,City of Long Beach,SPA 8 - South Bay,2710,35612732.4306641,24939.5283073039
06037576200,254,180,3010,8.4,6,District 4,City of Long Beach,SPA 8 - South Bay,2711,7523699.57226563,11203.1811684694
06037576301,285,152,1846,15.4,8.2,District 4,City of Long Beach,SPA 8 - South Bay,2712,5902568.20800781,9752.41040495532
06037576302,136,50,1115,12.2,4.5,District 4,City of Long Beach,SPA 8 - South Bay,2713,3481279.56054688,7918.16639154852
06037576401,290,134,1307,22.2,10.3,District 4,City of Long Beach,SPA 8 - South Bay,2714,3486538.01660156,7927.83095247687
06037576402,297,90,1335,22.2,6.7,District 4,City of Long Beach,SPA 8 - South Bay,2715,3496429.06835938,7929.78299413191
06037576403,167,107,1381,12.1,7.7,District 4,City of Long Beach,SPA 8 - South Bay,2716,3496614.59570313,7934.47574882701
06037576501,308,159,1372,22.4,11.6,District 4,City of Long Beach,SPA 8 - South Bay,2717,3126426.73828125,7289.41794253964
